Name,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
LeBron James,17,17,2018-11-21,33-326,LAL,@,CLE,W (+4),1,35:30,11,20,.550,2,6,.333,8,12,.667,2,12,14,7,0,1,4,3,32,26.2,+9
LeBron James,18,18,2018-11-23,33-328,LAL,,UTA,W (+7),1,35:04,8,17,.471,2,5,.400,4,6,.667,1,9,10,7,2,1,5,1,22,18.1,+13
LeBron James,19,19,2018-11-25,33-330,LAL,,ORL,L (-4),1,40:27,8,14,.571,2,7,.286,6,11,.545,0,4,4,7,0,1,6,4,24,14.6,-14
LeBron James,20,20,2018-11-27,33-332,LAL,@,DEN,L (-32),1,30:04,5,15,.333,0,4,.000,4,6,.667,0,7,7,2,2,2,4,0,14,7.6,-23
Collin Sexton,16,16,2018-11-21,19-321,CLE,,LAL,L (-4),1,35:47,5,17,.294,0,2,.000,2,2,1.000,1,2,3,2,0,0,0,0,12,4.8,-6
Collin Sexton,17,17,2018-11-23,19-323,CLE,@,PHI,W (+9),1,31:30,10,18,.556,0,0,,3,4,.750,1,4,5,3,1,1,2,1,23,17.3,0
Collin Sexton,18,18,2018-11-24,19-324,CLE,,HOU,W (+9),1,33:39,14,21,.667,1,3,.333,0,0,,0,4,4,2,0,0,3,4,29,17.9,+7
Collin Sexton,19,19,2018-11-26,19-326,CLE,,MIN,L (-7),1,38:57,5,19,.263,0,3,.000,1,1,1.000,1,6,7,4,0,0,4,2,11,0.2,+8
Collin Sexton,20,20,2018-11-28,19-328,CLE,@,OKC,L (-17),1,37:57,9,20,.450,1,2,.500,2,2,1.000,1,9,10,3,1,0,2,2,21,14.3,-7
Jayson Tatum,18,18,2018-11-21,20-263,BOS,,NYK,L (-8),1,29:00,4,12,.333,1,1,1.000,6,9,.667,3,5,8,0,0,0,0,2,15,9.8,-12
Jayson Tatum,19,19,2018-11-23,20-265,BOS,@,ATL,W (+18),1,22:56,6,11,.545,2,5,.400,0,0,,1,1,2,2,1,1,0,1,14,12.4,+10
Jayson Tatum,20,20,2018-11-24,20-266,BOS,@,DAL,L (-9),1,36:24,9,14,.643,3,6,.500,0,0,,0,4,4,3,2,1,2,3,21,17.6,+3
Jayson Tatum,21,21,2018-11-26,20-268,BOS,@,NOP,W (+17),1,34:51,7,14,.500,2,4,.500,4,4,1.000,2,5,7,1,3,1,1,3,20,18.1,+29
James Harden,16,13,2018-11-21,29-087,HOU,,DET,W (+2),1,36:22,10,20,.500,4,9,.444,19,19,1.000,1,6,7,9,4,0,6,3,43,38.6,+9
James Harden,17,14,2018-11-23,29-089,HOU,@,DET,L (-5),1,40:53,9,27,.333,3,11,.273,12,14,.857,1,1,2,8,0,1,7,5,33,15.2,-14
James Harden,18,15,2018-11-24,29-090,HOU,@,CLE,L (-9),1,43:38,14,30,.467,5,12,.417,7,12,.583,1,3,4,13,1,0,9,3,40,24.1,-2
James Harden,19,16,2018-11-26,29-092,HOU,@,WAS,L (-4),1,47:21,17,32,.531,7,15,.467,13,15,.867,1,7,8,13,3,0,11,4,54,39.9,+7
James Harden,20,17,2018-11-28,29-094,HOU,,DAL,L (-20),1,37:21,7,15,.467,4,11,.364,7,9,.778,1,10,11,17,6,0,8,4,25,28.5,-16
Josh Jackson,17,17,2018-11-21,21-284,PHO,@,CHI,L (-8),0,13:18,2,7,.286,0,1,.000,0,0,,2,3,5,1,1,0,0,0,4,3.9,+1
Josh Jackson,18,18,2018-11-23,21-286,PHO,@,MIL,W (+2),0,15:50,2,4,.500,1,1,1.000,6,7,.857,0,2,2,1,0,1,1,3,11,8.4,-6
Josh Jackson,19,19,2018-11-25,21-288,PHO,@,DET,L (-11),0,23:58,4,8,.500,1,4,.250,1,2,.500,1,3,4,1,1,0,2,3,10,5.7,-3
Josh Jackson,20,20,2018-11-27,21-290,PHO,,IND,L (-5),0,22:20,4,9,.444,0,2,.000,0,0,,0,5,5,4,1,0,1,2,8,6.8,-1
Josh Jackson,21,21,2018-11-28,21-291,PHO,@,LAC,L (-16),0,19:56,6,10,.600,0,1,.000,3,3,1.000,2,5,7,1,2,0,1,5,15,13.0,+1
